Station_ID,FIre_date,Fire_name,Fire_type,Station_name,Station_class,Aggr_ecoregion,Drainage_sqkm,HUC02,HUC02_name,Gage_lat,Gage_long,State,Mean_altitude,CEM_optbic,CEM_optbic_rsq,CEM_optbic_pval,CEM_delta_climate,CEM_delta_nonclimate,CEM_delta_climate_%,CEM_delta_nonclimate_%
2231000,4/25/2007,Big Turnaround Complex,WF,"ST. MARYS RIVER NR MACCLENNY, FLA.",Ref,SECstPlain,1748.368,3,South Atlantic-Gulf,30.358847,-82.081501,FL,38.905024,cem2,0.88066,0.018168,-31.434,-124.74,-9.4448,-37.48
2314500,4/16/2007,Sweat Farm Road,WF,"SUWANNEE RIVER AT US 441, AT FARGO, GA",Ref,SECstPlain,3322.154,3,South Atlantic-Gulf,30.680556,-82.560556,GA,46.505822,cem4,0.96457,0.0028614,-20.839,-106.47,-8.7298,-44.6
2327100,5/25/1998,Holiday,WF,"SOPCHOPPY RIVER NR SOPCHOPPY, FLA.",Ref,SECstPlain,271.1182,3,South Atlantic-Gulf,30.129369,-84.494348,FL,30.546983,cem2,0.94944,0.0048998,-27.78,-15.133,-4.415,-2.405
2479155,3/16/2008,Unnamed,RX,"CYPRESS CREEK NR JANICE, MS",Ref,SEPlains,137.2806,3,South Atlantic-Gulf,31.025278,-89.016667,MS,80.420455,cem2,0.9843,0.00083905,-52.07,67.234,-9.9942,12.905
6154410,7/22/1988,Monument,WF,Little Peoples Creek near Hays MT,Ref,WestMnts,33.4053,10,Missouri,47.966104,-108.66071,MT,1384.418386,cem4,0.94237,0.0059762,7.9907,-14.7,8.0409,-14.792
6879650,4/22/2006,Unnamed,UNK,"KINGS C NR MANHATTAN, KS",Ref,WestPlains,11.5065,10,Missouri,39.101948,-96.595214,KS,396.704918,cem3,0.98745,0.00059863,52.623,1.1922,69.35,1.5711
6888500,4/22/2006,Unnamed,UNK,"MILL C NR PAXICO, KS",Ref,WestPlains,842.346,10,Missouri,39.062655,-96.150252,KS,400.276113,cem2,0.99258,0.00027195,25.402,13.94,14.632,8.0299
6910800,4/22/2006,Unnamed,UNK,"MARAIS DES CYGNES R NR READING, KS",Ref,CntlPlains,444.5973,10,Missouri,38.567005,-95.961632,KS,390.098497,cem3,0.97474,0.0017165,9.3624,33.14,5.0003,17.699
6911900,4/22/2006,Unnamed,UNK,"DRAGOON C NR BURLINGAME, KS",Ref,CntlPlains,293.0553,10,Missouri,38.71069,-95.836029,KS,370.920784,cem4,0.96293,0.0030634,-8.4879,73.939,-4.597,40.045
7167500,4/1/2007,Unnamed,UNK,"OTTER C AT CLIMAX, KS",Ref,WestPlains,319.6179,11,Arkansas-White-Red,37.70821,-96.223602,KS,381.86925,cem2,0.99967,2.55E-06,105.03,-33.074,35.632,-11.221
